samplename	Type	Temperature	Latitude	Longitude	Year	Month	YearMonth	Date
ClaidentTutorial__Sample01__MiFish	River	10.0	50.0000	135.0000	2019	01	201901	2019-01-01
ClaidentTutorial__Sample02__MiFish	River	11.0	48.0000	135.0000	2019	01	201901	2019-01-16
ClaidentTutorial__Sample03__MiFish	River	12.0	46.0000	135.0000	2019	02	201902	2019-02-01
ClaidentTutorial__Sample04__MiFish	River	13.0	44.0000	135.0000	2019	02	201902	2019-02-16
ClaidentTutorial__Sample05__MiFish	River	14.0	42.0000	135.0000	2019	03	201903	2019-03-01
ClaidentTutorial__Sample06__MiFish	Lake	15.0	40.0000	135.0000	2019	03	201903	2019-03-16
ClaidentTutorial__Sample07__MiFish	Lake	16.0	38.0000	135.0000	2019	04	201904	2019-04-01
ClaidentTutorial__Sample08__MiFish	Lake	17.0	36.0000	135.0000	2019	04	201904	2019-04-16
ClaidentTutorial__Sample09__MiFish	Lake	18.0	34.0000	135.0000	2019	05	201905	2019-05-01
ClaidentTutorial__Sample10__MiFish	Lake	19.0	32.0000	135.0000	2019	05	201905	2019-05-16
ClaidentTutorial__Sample11__MiFish	Estuary	20.0	30.0000	135.0000	2019	06	201906	2019-06-01
ClaidentTutorial__Sample12__MiFish	Estuary	21.0	28.0000	135.0000	2019	06	201906	2019-06-16
ClaidentTutorial__Sample13__MiFish	Estuary	22.0	26.0000	135.0000	2019	07	201907	2019-07-01
ClaidentTutorial__Sample14__MiFish	Estuary	23.0	24.0000	135.0000	2019	07	201907	2019-07-16
ClaidentTutorial__Sample15__MiFish	Estuary	24.0	22.0000	135.0000	2019	08	201908	2019-08-01
ClaidentTutorial__Sample16__MiFish	Ocean	25.0	20.0000	135.0000	2019	08	201908	2019-08-16
ClaidentTutorial__Sample17__MiFish	Ocean	26.0	18.0000	135.0000	2019	09	201909	2019-09-01
ClaidentTutorial__Sample18__MiFish	Ocean	27.0	16.0000	135.0000	2019	09	201909	2019-09-16
ClaidentTutorial__Sample19__MiFish	Ocean	28.0	14.0000	135.0000	2019	10	201910	2019-10-01
ClaidentTutorial__Sample20__MiFish	Ocean	29.0	12.0000	135.0000	2019	10	201910	2019-10-16
