samplename	outputpcov
ClaidentTutorial__Sample01__MiFish	0.9997944103
ClaidentTutorial__Sample02__MiFish	0.9997943399
ClaidentTutorial__Sample03__MiFish	0.9997924422
ClaidentTutorial__Sample04__MiFish	0.9997930539
ClaidentTutorial__Sample05__MiFish	0.9997919423
ClaidentTutorial__Sample06__MiFish	0.9997918707
ClaidentTutorial__Sample07__MiFish	0.9997921292
ClaidentTutorial__Sample08__MiFish	0.9997937561
ClaidentTutorial__Sample09__MiFish	0.9997918404
ClaidentTutorial__Sample10__MiFish	0.9997918401
ClaidentTutorial__Sample11__MiFish	0.9997918575
ClaidentTutorial__Sample12__MiFish	0.9997919518
ClaidentTutorial__Sample13__MiFish	0.9997918682
ClaidentTutorial__Sample14__MiFish	0.9997934392
ClaidentTutorial__Sample15__MiFish	0.9997930698
ClaidentTutorial__Sample16__MiFish	0.9997937282
ClaidentTutorial__Sample17__MiFish	0.9997939447
ClaidentTutorial__Sample18__MiFish	0.9997919141
ClaidentTutorial__Sample19__MiFish	0.9997922408
ClaidentTutorial__Sample20__MiFish	0.9997918711
